Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2030,38.7
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2040,40.4
NUTR,kcal/cap/d,ANZ,AQUAFOOD+,SSP2,2050,41.8
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2000,16.2
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2010,17.3
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2020,18.6
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2030,19.5
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2040,20.3
NUTR,kcal/cap/d,ANZ,OTHER+,SSP2,2050,20.9
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2000,50.6
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2010,52
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2020,54.9
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2030,56.6
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2040,58.6
NUTR,kcal/cap/d,ANZ,ALCOOL+,SSP2,2050,59.7
NUTR,kcal/cap/d,USA,TOT,SSP2,2000,3705.9
NUTR,kcal/cap/d,USA,TOT,SSP2,2010,3691.3
NUTR,kcal/cap/d,USA,TOT,SSP2,2020,3733.4
NUTR,kcal/cap/d,USA,TOT,SSP2,2030,3770.8
NUTR,kcal/cap/d,USA,TOT,SSP2,2040,3776.9
NUTR,kcal/cap/d,USA,TOT,SSP2,2050,3784.1
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2000,120.5
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2010,107.6
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2020,107.8
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2030,106.9
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2040,105.6
NUTR,kcal/cap/d,USA,BVMEAT,SSP2,2050,104.7
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2000,4
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2010,3.6
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2020,3.6
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2030,3.6
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2040,3.6
NUTR,kcal/cap/d,USA,SGMEAT,SSP2,2050,3.6
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2000,132.2
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2010,128.2
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2020,133.2
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2030,134.6
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2040,134.8
NUTR,kcal/cap/d,USA,PGMEAT,SSP2,2050,133.8
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2000,187.6
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2010,197.7
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2020,209.4
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2030,216.8
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2040,221.6
NUTR,kcal/cap/d,USA,PTMEAT,SSP2,2050,224
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2000,426.3
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2010,437.7
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2020,440.7
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2030,444
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2040,443.2
NUTR,kcal/cap/d,USA,ALMILK,SSP2,2050,442.7
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2000,55.3
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2010,53.7
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2020,55.9
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2030,56.9
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2040,57.3
NUTR,kcal/cap/d,USA,PTEGGS,SSP2,2050,57.1
NUTR,kcal/cap/d,USA,BARL,SSP2,2000,5
NUTR,kcal/cap/d,USA,BARL,SSP2,2010,5
NUTR,kcal/cap/d,USA,BARL,SSP2,2020,5
NUTR,kcal/cap/d,USA,BARL,SSP2,2030,5.1
NUTR,kcal/cap/d,USA,BARL,SSP2,2040,5.1
NUTR,kcal/cap/d,USA,BARL,SSP2,2050,5.2
NUTR,kcal/cap/d,USA,CORN,SSP2,2000,101.3
NUTR,kcal/cap/d,USA,CORN,SSP2,2010,98.1
NUTR,kcal/cap/d,USA,CORN,SSP2,2020,99.9
