,,,,,2000,2010,2020,2030,2040,2050
IndonesiaReg,Pota,SPA0,SSP2,scenRCPref,53,54,79,104,123,138
IndonesiaReg,Rape,SPA0,SSP2,scenRCPref,44,52,243,439,593,710
IndonesiaReg,Rice,SPA0,SSP2,scenRCPref,2005,1694,2614,5305,10101,16725
IndonesiaReg,Soya,SPA0,SSP2,scenRCPref,,,1814,4525,9388,16119
IndonesiaReg,SugC,SPA0,SSP2,scenRCPref,2588,2629,3846,5063,5988,6697
IndonesiaReg,Sunf,SPA0,SSP2,scenRCPref,0,0,2,4,5,6
IndonesiaReg,SwPo,SPA0,SSP2,scenRCPref,32,32,47,62,74,83
IndonesiaReg,Whea,SPA0,SSP2,scenRCPref,,23,124,241,337,413
JapanReg,Barl,SPA0,SSP2,scenRCPref,1341,1442,1570,1622,1604,1541
JapanReg,BeaD,SPA0,SSP2,scenRCPref,14,15,17,17,17,16
JapanReg,Corn,SPA0,SSP2,scenRCPref,10341,11087,12076,12509,12367,11922
JapanReg,Cott,SPA0,SSP2,scenRCPref,146,161,180,187,184,175
JapanReg,Gnut,SPA0,SSP2,scenRCPref,5,6,6,6,6,6
JapanReg,Mill,SPA0,SSP2,scenRCPref,8,8,9,9,9,9
JapanReg,Pota,SPA0,SSP2,scenRCPref,145,166,181,187,185,179
JapanReg,Rape,SPA0,SSP2,scenRCPref,1150,1272,1415,1473,1450,1380
JapanReg,Rice,SPA0,SSP2,scenRCPref,152,155,163,167,167,164
JapanReg,Soya,SPA0,SSP2,scenRCPref,2956,2785,2934,3057,3026,2993
JapanReg,Srgh,SPA0,SSP2,scenRCPref,2052,2232,2370,2399,2347,2249
JapanReg,SugC,SPA0,SSP2,scenRCPref,581,662,722,748,739,716
JapanReg,Sunf,SPA0,SSP2,scenRCPref,2,2,2,2,2,2
JapanReg,SwPo,SPA0,SSP2,scenRCPref,67,77,84,87,86,83
JapanReg,Whea,SPA0,SSP2,scenRCPref,98,107,115,119,118,115
MalaysiaReg,Cass,SPA0,SSP2,scenRCPref,19,24,46,57,63,71
MalaysiaReg,Corn,SPA0,SSP2,scenRCPref,1978,3145,6216,7561,8415,9477
MalaysiaReg,Gnut,SPA0,SSP2,scenRCPref,0,0,1,1,1,1
MalaysiaReg,Mill,SPA0,SSP2,scenRCPref,1,2,3,4,5,5
