Var,Unit,Reg,Item,Macro,Year,Val
PROD,1000 t,CAN,BEAD,SSP2,2000,285.181
OTHU,1000 t,CAN,BEAD,SSP2,2000,30.798
CONS,1000 t dm,CAN,BEAD,SSP2,2000,69.412
FEED,1000 t dm,CAN,BEAD,SSP2,2000,14.146
FOOD,1000 t dm,CAN,BEAD,SSP2,2000,27.547
PROD,1000 t dm,CAN,BEAD,SSP2,2000,256.662
OTHU,1000 t dm,CAN,BEAD,SSP2,2000,27.718
CONS,1000 t,CHN,BEAD,SSP2,2000,1341.669
FEED,1000 t,CHN,BEAD,SSP2,2000,692.368
FOOD,1000 t,CHN,BEAD,SSP2,2000,513.465
PROD,1000 t,CHN,BEAD,SSP2,2000,1758.485
OTHU,1000 t,CHN,BEAD,SSP2,2000,135.836
CONS,1000 t dm,CHN,BEAD,SSP2,2000,1207.502
FEED,1000 t dm,CHN,BEAD,SSP2,2000,623.132
FOOD,1000 t dm,CHN,BEAD,SSP2,2000,462.118
PROD,1000 t dm,CHN,BEAD,SSP2,2000,1582.637
OTHU,1000 t dm,CHN,BEAD,SSP2,2000,122.252
CONS,1000 t,IND,BEAD,SSP2,2000,3271.539
FEED,1000 t,IND,BEAD,SSP2,2000,315.56
FOOD,1000 t,IND,BEAD,SSP2,2000,2268.961
PROD,1000 t,IND,BEAD,SSP2,2000,2954.424
OTHU,1000 t,IND,BEAD,SSP2,2000,687.018
CONS,1000 t dm,IND,BEAD,SSP2,2000,2944.385
FEED,1000 t dm,IND,BEAD,SSP2,2000,284.004
FOOD,1000 t dm,IND,BEAD,SSP2,2000,2042.065
PROD,1000 t dm,IND,BEAD,SSP2,2000,2658.982
OTHU,1000 t dm,IND,BEAD,SSP2,2000,618.316
CONS,1000 t,WLD,BEAD,SSP2,2000,17450.721
FEED,1000 t,WLD,BEAD,SSP2,2000,2209.849
FOOD,1000 t,WLD,BEAD,SSP2,2000,12268.722
PROD,1000 t,WLD,BEAD,SSP2,2000,17450.721
OTHU,1000 t,WLD,BEAD,SSP2,2000,2972.151
CONS,1000 t dm,WLD,BEAD,SSP2,2000,15705.649
FEED,1000 t dm,WLD,BEAD,SSP2,2000,1988.864
FOOD,1000 t dm,WLD,BEAD,SSP2,2000,11041.849
PROD,1000 t dm,WLD,BEAD,SSP2,2000,15705.649
OTHU,1000 t dm,WLD,BEAD,SSP2,2000,2674.936
CONS,1000 t,OSA,BEAD,SSP2,2000,2422.413
FEED,1000 t,OSA,BEAD,SSP2,2000,125.636
FOOD,1000 t,OSA,BEAD,SSP2,2000,1937.793
PROD,1000 t,OSA,BEAD,SSP2,2000,2084.815
OTHU,1000 t,OSA,BEAD,SSP2,2000,358.984
CONS,1000 t dm,OSA,BEAD,SSP2,2000,2180.172
FEED,1000 t dm,OSA,BEAD,SSP2,2000,113.072
FOOD,1000 t dm,OSA,BEAD,SSP2,2000,1744.014
PROD,1000 t dm,OSA,BEAD,SSP2,2000,1876.333
OTHU,1000 t dm,OSA,BEAD,SSP2,2000,323.086
CONS,1000 t,EUR,BEAD,SSP2,2000,766.632
FEED,1000 t,EUR,BEAD,SSP2,2000,139.835
FOOD,1000 t,EUR,BEAD,SSP2,2000,461.415
PROD,1000 t,EUR,BEAD,SSP2,2000,324.668
OTHU,1000 t,EUR,BEAD,SSP2,2000,165.382
CONS,1000 t dm,EUR,BEAD,SSP2,2000,689.969
FEED,1000 t dm,EUR,BEAD,SSP2,2000,125.851
FOOD,1000 t dm,EUR,BEAD,SSP2,2000,415.274
PROD,1000 t dm,EUR,BEAD,SSP2,2000,292.201
OTHU,1000 t dm,EUR,BEAD,SSP2,2000,148.844
CONS,1000 t,MEN,BEAD,SSP2,2000,407.293
FEED,1000 t,MEN,BEAD,SSP2,2000,23.675
FOOD,1000 t,MEN,BEAD,SSP2,2000,276.118
PROD,1000 t,MEN,BEAD,SSP2,2000,484.346
OTHU,1000 t,MEN,BEAD,SSP2,2000,107.499
CONS,1000 t dm,MEN,BEAD,SSP2,2000,366.564
FEED,1000 t dm,MEN,BEAD,SSP2,2000,21.308
FOOD,1000 t dm,MEN,BEAD,SSP2,2000,248.507
PROD,1000 t dm,MEN,BEAD,SSP2,2000,435.912
OTHU,1000 t dm,MEN,BEAD,SSP2,2000,96.749
CONS,1000 t,SSA,BEAD,SSP2,2000,2276.817
FEED,1000 t,SSA,BEAD,SSP2,2000,45.5
FOOD,1000 t,SSA,BEAD,SSP2,2000,1759.523
PROD,1000 t,SSA,BEAD,SSP2,2000,2551.202
OTHU,1000 t,SSA,BEAD,SSP2,2000,471.794
CONS,1000 t dm,SSA,BEAD,SSP2,2000,2049.136
FEED,1000 t dm,SSA,BEAD,SSP2,2000,40.95
FOOD,1000 t dm,SSA,BEAD,SSP2,2000,1583.571
PROD,1000 t dm,SSA,BEAD,SSP2,2000,2296.082
OTHU,1000 t dm,SSA,BEAD,SSP2,2000,424.615
CONS,1000 t,SEA,BEAD,SSP2,2000,2322.134
FEED,1000 t,SEA,BEAD,SSP2,2000,391.337
FOOD,1000 t,SEA,BEAD,SSP2,2000,1313.679
PROD,1000 t,SEA,BEAD,SSP2,2000,2454.8
OTHU,1000 t,SEA,BEAD,SSP2,2000,617.118
CONS,1000 t dm,SEA,BEAD,SSP2,2000,2089.921
FEED,1000 t dm,SEA,BEAD,SSP2,2000,352.203
FOOD,1000 t dm,SEA,BEAD,SSP2,2000,1182.311
PROD,1000 t dm,SEA,BEAD,SSP2,2000,2209.32
OTHU,1000 t dm,SEA,BEAD,SSP2,2000,555.406
CONS,1000 t,OAS,BEAD,SSP2,2000,305.422
FEED,1000 t,OAS,BEAD,SSP2,2000,15.284
FOOD,1000 t,OAS,BEAD,SSP2,2000,249.109
PROD,1000 t,OAS,BEAD,SSP2,2000,226.256
OTHU,1000 t,OAS,BEAD,SSP2,2000,41.029
CONS,1000 t dm,OAS,BEAD,SSP2,2000,274.88
FEED,1000 t dm,OAS,BEAD,SSP2,2000,13.755
FOOD,1000 t dm,OAS,BEAD,SSP2,2000,224.198
PROD,1000 t dm,OAS,BEAD,SSP2,2000,203.63
OTHU,1000 t dm,OAS,BEAD,SSP2,2000,36.926
CONS,1000 t,ANZ,BVMEAT,SSP2,2000,895.369
FOOD,1000 t,ANZ,BVMEAT,SSP2,2000,887.284
